experiment,simulation_number,period,inflation,inflation_target,nominal_interest_rate,mean_exp_inflation,real_interest_rate,unemployment_rate,output_gap,consumption,real_wage_rate,mean_real_savings_balance,mean_indexation_strategy,mean_substitution_strategy,stdev_real_savings_balance,stdev_indexation_strategy,stdev_substitution_strategy
12,5,100,0.017790402229537663,0.02,-0.005,0.02,-0.025,0.9090584549258496,-0.8343956477242457,11.691520548392985,0.2625641904782643,0.0005354762781556205,0.27497131778665784,-0.2054960258817453,0.0387785988701736,0.255362739091749,0.38624818430137303
12,5,150,0.019146170382915516,0.02,-0.005,0.02,-0.025,0.9074529207421007,-0.8322076958522402,11.80851122681614,0.2614179459033305,0.0005267407271799427,0.3445711517310796,-0.300689411144454,0.07103825375652782,0.2718666065927175,0.33904647780605174
12,5,200,0.01885294783310382,0.02,-0.005,0.02,-0.025,0.9076840110117489,-0.8325220273614707,11.895232544585172,0.2615813913633148,0.00025428174765974355,0.3665348289139384,-0.497992341626246,0.08704768221051767,0.2885246608116787,0.41552072995267714
12,5,250,0.01950866526109315,0.02,-0.005,0.02,-0.025,0.9079145242484626,-0.832835770021897,11.838286683268064,0.2617449390137524,0.0003144983777496066,0.4024937585824208,-0.6241577002373747,0.08861116289535903,0.2640847654669235,0.41012727706450736
12,5,300,0.018772048316549095,0.02,-0.005,0.02,-0.025,0.9081444618930943,-0.8331489249366308,11.782325568438912,0.26190858891853536,0.00037720933273791105,0.46930921284573324,-0.35560165805241106,0.08812505696832723,0.2935730404346577,0.3706529626361981
12,5,350,0.02212239368296309,0.02,-0.005,0.02,-0.025,0.9083738253828989,-0.8334614932067181,11.821953625371858,0.26207234114159605,0.00025607000527483846,0.5538364005119584,-0.10375801798331673,0.08310697719710458,0.25553415156430875,0.38923775307688163
12,5,400,-0.0010272090874812235,0.02,-0.005,0.02,-0.025,0.9104124653366601,-0.8362483483418112,11.726763269441546,0.2635507040759272,4.7742052822913915e-05,0.5545250272070295,-0.10820243381608068,0.07849183237070703,0.29105009732378795,0.3388829594045989
12,5,450,0.020705014116669557,0.02,-0.005,0.02,-0.025,0.9088308356291102,-0.8340848742068263,11.856074244861869,0.2624001527984787,0.00010395472857754381,0.5386101370506721,-0.09111523164542912,0.0741010299421166,0.33516149587803884,0.422658293806292
12,5,500,0.001656161350130657,0.02,-0.005,0.02,-0.025,0.9090584852421181,-0.8343956891286408,11.829643128612748,0.26256421236036487,0.00014780261117536834,0.6211221922158373,-0.08098111782328599,0.05541102564259806,0.3285568504367447,0.3851805741021192
12,5,550,-0.001461399729060587,0.02,-0.005,0.02,-0.025,0.9092855664135191,-0.8347059217894037,11.845790912613479,0.2627283744966573,5.45295338489014e-05,0.5502617946553943,-0.04400837973281081,0.06578681708313294,0.33280192625700616,0.34294065689844266
12,5,600,-0.0032331361834885292,0.02,-0.005,0.02,-0.025,0.9095120805627129,-0.8350155732798861,11.9013217175857,0.262892639271488,-8.36757868392302e-05,0.4980440953908322,0.034288091024119255,0.058943963125227254,0.24480892604893628,0.37292682985664216
12,5,650,0.0006285546724982757,0.02,-0.005,0.02,-0.025,0.9060542429247805,-0.8303093637884502,12.391938766011773,0.26043945898005394,-0.0003335416895117601,0.604099606981475,0.22728614041998071,0.02459238542344933,0.276580448192199,0.41142139489638657
12,5,700,0.028727308527044554,0.02,-0.005,0.02,-0.025,0.8709463633902655,-0.7846833147685031,19.73172944838521,0.24056559471633582,-0.007970875989238355,0.7580208428161049,0.3125602787484982,0.026236056743248897,0.31700999340701036,0.34686601563970665
12,5,750,0.02694328797829629,0.02,-0.005,0.02,-0.025,0.787754282506954,-0.687299048924862,33.06409997173847,0.21243024163183827,-0.018770922491879012,0.6742656714612433,0.4935704582423028,0.03721045315630519,0.35555933988374677,0.3485217069173509
12,5,800,0.028276283411366815,0.02,-0.005,0.02,-0.025,0.6509339389608497,-0.5458694494661849,48.0184593984899,0.1875854592298307,-0.02681155836013914,0.6876639936685195,0.3673769204947788,0.04317743324998599,0.3251441263219572,0.37974308589385364
