statistic,inflation_gap,nominal_interest_rate,unemployment_rate,mean_real_savings_balance,mean_indexation_strategy,mean_substitution_strategy,stdev_real_savings_balance,stdev_indexation_strategy,stdev_substitution_strategy
mean,-0.009194008880758414,0.0005858262318348798,0.35451535338820517,-0.06406889323890952,0.41155438369622543,0.24494413182526625,0.23231040450857376,0.20556094000338607,0.2206176640029102
stdev,0.012387331624006643,0.00890846586284865,0.3743821682959259,0.1984527761754503,0.25501591953497676,0.2067169869200934,1.0210118681741527,0.09719904448027891,0.10717000881122746
