experiment,simulation_number,period,inflation,inflation_target,nominal_interest_rate,mean_exp_inflation,real_interest_rate,unemployment_rate,output_gap,consumption,real_wage_rate,mean_real_savings_balance,mean_indexation_strategy,mean_substitution_strategy,stdev_real_savings_balance,stdev_indexation_strategy,stdev_substitution_strategy
14,4,100,0.014925676510378483,0.02,-0.005,0.019999208691058652,-0.024999208691058653,0.7321966505523237,-0.6277266020417853,29.658066044086894,0.20043431493306726,-0.00548052948116054,0.27283403581269244,0.3308656813259976,0.026560190158040276,0.2738216133890177,0.2595973268596538
14,4,150,0.017931921825176743,0.02,-0.005,0.019999208691058652,-0.024999208691058653,0.5595620895019742,-0.4593533451606454,57.16642365024029,0.17699251633530508,-0.032921851734204546,0.3341360750413561,0.3106194623029994,0.035831184113692245,0.3099611431407424,0.24841174245102426
14,4,200,0.020990918582432433,0.02,-0.005,0.019999208691058652,-0.024999208691058653,0.2756417968485185,-0.21482757835467758,83.02187554938018,0.15629235367788347,-0.045331841672650676,0.41154037772345015,0.34582344953101246,0.05486743075534644,0.29357559884021595,0.25514545074974837
14,4,250,0.010662496471365827,0.02,0.006946568734847336,0.019999208691058652,-0.013052639956211316,0.0,0.0,105.7371263440564,0.14418699046916786,-0.06996383066480442,0.5099527237865399,0.3898023614193854,0.03368141856399375,0.3216869403311008,0.2465309183278601
14,4,300,0.012513932257171317,0.02,0.009384338048809004,0.019999208691058652,-0.010614870642249648,0.0,0.0,92.42905700504411,0.14418699046916786,-0.06158924560931005,0.6211229837498701,0.4215663335454918,0.033854461477508375,0.3151067698342579,0.22165840446701032
14,4,350,0.014025073181937533,0.02,0.011777337033927582,0.019999208691058652,-0.00822187165713107,0.0,0.0,83.33219814684283,0.14418699046916783,-0.05552435556155276,0.7079614345547222,0.3858428872317315,0.03424035882114661,0.36447895052901547,0.2510749939852911
14,4,400,0.017305731974422436,0.02,0.01610208279022962,0.019999208691058652,-0.0038971259008290307,0.0,0.0,78.01882029687195,0.14418699046916783,-0.051994419040038445,0.845591144996717,0.4096442540548056,0.03510312285954527,0.3682414792317471,0.24170655019543566
14,4,450,0.020063690816322127,0.02,0.020271080855037704,0.019999208691058652,0.00027187216397905195,0.0,0.0,74.1877265770961,0.1441869904691678,-0.04943583639099618,0.9797909098913234,0.4390488110758292,0.037394070390300044,0.3955437226163563,0.265468961205453
14,4,500,0.020630632501841967,0.02,0.02097945058185302,0.019999208691058652,0.0009802418907943686,0.0,0.0,72.11670611965656,0.14418699046916783,-0.04728323857950198,1.0201946940697302,0.5301480341686015,0.0389451809086494,0.37412435408655387,0.26155514159192095
14,4,550,0.023905787521319465,0.02,0.025569584560817926,0.019999208691058652,0.005570375869759274,0.0,0.0,68.9213181341091,0.14418699046916783,-0.03939328174846782,1.1978610717740092,0.57383583443812,0.03429548822328817,0.33135152110516014,0.22912449874283117
14,4,600,0.028002938918516435,0.02,0.030771230182081055,0.019999208691058652,0.010772021491022403,0.0,0.0,66.80900781463595,0.1441869904691678,-0.027938772560898963,1.3773784595914684,0.462785093554862,0.039631089617885314,0.32503985501391014,0.26922967358041755
14,4,650,0.029164366875846216,0.02,0.03320757622449677,0.019999208691058652,0.013208367533438119,0.0,0.0,64.12475349849973,0.14418699046916783,-0.005531507330269969,1.468308558707515,0.40295033607971553,0.12894852702239892,0.3957667421482726,0.2826036021105698
14,4,700,0.03322595683135835,0.02,0.038359260590763,0.019999208691058652,0.018360051899704348,0.0,0.0,61.378196652957776,0.14418699046916783,0.033173612992226174,1.6383281180983862,0.46747828090653687,0.326008084989898,0.3441901305087671,0.24664436825237285
14,4,750,0.03604123974020793,0.02,0.04214324336976927,0.019999208691058652,0.022144034678710615,0.0,0.0,70.55412638974829,0.14418699046916783,0.04803040711782763,1.789233311305159,0.3875109205740401,0.5084217037431502,0.3493622332229075,0.2170712869683395
14,4,800,0.03847865215164934,0.02,0.045941702387310324,0.019999208691058652,0.02594249369625167,0.0,0.0,74.9585822336861,0.14418699046916783,0.05251478241001959,1.8974765827952578,0.42626523291758756,0.6145680082747947,0.3355635596824107,0.21191609687036428
