experiment,simulation_number,period,inflation,inflation_target,nominal_interest_rate,mean_exp_inflation,real_interest_rate,unemployment_rate,output_gap,consumption,real_wage_rate,mean_real_savings_balance,mean_indexation_strategy,mean_substitution_strategy,stdev_real_savings_balance,stdev_indexation_strategy,stdev_substitution_strategy
9,8,100,0.005424073795448501,0.02,-0.0020278087377620935,0.02,-0.022027808737762094,0.02010294915546808,-0.015115419906312044,80.03225329814101,0.14492088065864533,-0.020926950071680907,1.0592135374493432,1.0699508217412044,0.019970061569010135,0.22159713196742653,0.24630423669195464
9,8,150,0.04302229036375763,0.02,0.03481364949586507,0.02,0.014813649495865073,0.002803284734737872,-0.002103201138431432,83.21943333237516,0.14428821718329854,-0.037390430701006144,1.1624003769099438,1.0936788207037729,0.02679506591842494,0.22568636705862472,0.23535078287860828
9,8,200,0.04013476222343533,0.02,-0.005,0.02,-0.025,0.02499044985425394,-0.018802004746970025,84.27171139255123,0.14510215409558516,-0.05417265969352142,1.1805374878749522,1.0682841337706404,0.03102740347175061,0.2354154451965128,0.23919559776812976
9,8,250,0.04476529283407434,0.02,0.033900981747044145,0.02,0.013900981747044145,0.007777072173413103,-0.005838492852384025,83.76194317482775,0.14446869925682626,-0.05308651049300528,1.2371426697975787,1.06069894210382,0.031212020196051373,0.21716405579083697,0.23463669289457875
9,8,300,0.006426158978480398,0.02,0.03401637220121079,0.02,0.014016372201210787,0.029853572825745914,-0.022474790094709984,82.39430736820943,0.14528365427734452,-0.053862110578798895,1.25635022144518,1.1201618935695654,0.029582761237290985,0.2307919382713986,0.22667759962284237
9,8,350,0.004708112259135838,0.02,-0.005,0.02,-0.025,0.03227603068450969,-0.02430602410810012,81.62242110306254,0.1453744894861497,-0.0546085097521733,1.2619553651784001,1.1737024322785818,0.036891920010651925,0.2500484861468165,0.2489169617777188
9,8,400,0.005153524644877823,0.02,0.03470981341358326,0.02,0.014709813413583257,0.03469243966043212,-0.02613382760330274,82.80203040775174,0.14546538148754593,-0.053937257523096076,1.3070579725617035,1.1185534924980944,0.030181103685505976,0.23358254240322812,0.24338019233678976
9,8,450,0.051910755133308326,0.02,0.035899500172424936,0.02,0.015899500172424936,0.01765034647087134,-0.013267183184259346,83.93761154262344,0.1448303409511078,-0.05278101594602828,1.4313352486374096,1.1049565592845232,0.0328821576340905,0.23136652016612272,0.2467127187461551
9,8,500,0.05012921923731897,0.02,-0.005,0.02,-0.025,0.03950717134233343,-0.029779168733169548,84.90935961891958,0.1456473360101666,-0.057663399675575225,1.515868124953253,1.1152708865851424,0.03665137313185118,0.23815660433622557,0.21362684681566074
9,8,550,0.010423637072553123,0.02,-0.005,0.02,-0.025,0.041905524143410845,-0.031596719184771915,83.13052194335273,0.14573839860247417,-0.05549226265849998,1.5213855184925387,1.1013675915734726,0.037518680427142896,0.23420501509889022,0.2509166658000831
9,8,600,0.05022967327591833,0.02,-0.005,0.02,-0.025,0.04429788825203047,-0.03341086475210675,84.47019177865042,0.14582951812953893,-0.05742538429363867,1.5210863464841085,1.0828821000967352,0.03660931954844652,0.2256393593916918,0.22151858278583056
9,8,650,0.009464743290499589,0.02,-0.005,0.02,-0.025,0.046684278621971546,-0.03522161181366956,84.2217084913388,0.145920694626958,-0.056718317690179064,1.5249798552708922,1.0835176343850306,0.037778215547603584,0.2129756889529209,0.2120599972122142
9,8,700,0.05330648623461652,0.02,0.03199471903658391,0.02,0.011994719036583907,0.02985389623370713,-0.022475034495533897,84.79022426137766,0.14528366638528487,-0.05446804850451985,1.5580286055762242,1.0646403347528697,0.038531032824523165,0.20611680565757493,0.2369997742970355
9,8,750,0.05292993838430432,0.02,0.02976723210992982,0.02,0.00976723210992982,0.0322763532849209,-0.024306268051079383,85.16936215565457,0.14537450160166027,-0.054794781000566437,1.5547292533885353,1.0742368537335154,0.03430434804899719,0.22300442453300923,0.2350561165006443
9,8,800,0.05319899511663022,0.02,0.02994408933757775,0.02,0.00994408933757775,0.03469276145530921,-0.026134071089294553,85.47868315654078,0.14546539361063143,-0.05471880621753394,1.6061373811088404,1.0831911246812356,0.03489204500756476,0.23941459509327276,0.22250646645972016
