experiment,simulation_number,period,inflation,inflation_target,nominal_interest_rate,mean_exp_inflation,real_interest_rate,unemployment_rate,output_gap,consumption,real_wage_rate,mean_real_savings_balance,mean_indexation_strategy,mean_substitution_strategy,stdev_real_savings_balance,stdev_indexation_strategy,stdev_substitution_strategy
11,12,100,0.015247566154403376,0.02,0.010634398437428638,0.015699738692907673,-0.005065340255479035,0.0,0.0,76.50250448031368,0.14418699046916783,-0.0063309749212932896,0.963896178198657,0.9740119359243107,0.0633820050879239,0.2083124813371545,0.09593306991981118
11,12,150,0.008349424391927688,0.02,-0.00287963627526,0.009832650292117573,-0.012712286567377573,0.0,0.0,99.28105843787831,0.14418699046916783,-0.05477459602820009,0.852814760360958,0.9601184812324749,0.030552183549891514,0.20332648833054517,0.08776043087692656
11,12,200,0.004935780935704827,0.02,-0.005,0.00554078177251872,-0.01054078177251872,0.0,0.0,105.7371263440564,0.14418699046916783,-0.05524017353705682,0.8892728198239692,0.9781610261123752,0.06771472265461366,0.19965780923579055,0.09027286291161714
11,12,250,0.003108207421140651,0.02,-0.005,0.003406063745646666,-0.008406063745646666,0.0,0.0,105.7371263440564,0.1441869904691678,-0.04590720763025728,0.9149735824718416,0.9868008135706623,0.08766616123910105,0.1834927480662896,0.0916361440965838
11,12,300,0.001960136045344637,0.02,-0.005,0.0021494526626017457,-0.007149452662601746,0.0,0.0,105.7371263440564,0.1441869904691678,-0.03840389715497009,0.9141505364201095,1.0065938611789351,0.1083280779490687,0.21219482425541042,0.09247232083941317
11,12,350,0.0012955420860338521,0.02,-0.005,0.0014170530880463208,-0.006417053088046321,0.0,0.0,105.7371263440564,0.14418699046916783,-0.03211173440784585,0.9251604420761346,1.0133416999386007,0.12070106211025983,0.1933936378422417,0.09391830191562069
11,12,400,0.0009065498282889136,0.02,-0.005,0.0009417837175196668,-0.005941783717519667,0.0,0.0,105.7371263440564,0.14418699046916783,-0.026739449970796428,0.9520962661665426,1.0052066633826127,0.12582481299639975,0.20535852118383116,0.08955790374823717
11,12,450,0.0007322668180247919,0.02,-0.005,0.0007614827471207706,-0.005761482747120771,0.0,0.0,105.7371263440564,0.14418699046916783,-0.022352504944785898,0.9605703984886076,1.0126279937518965,0.13684261071545142,0.21937123430301547,0.08803769756142646
11,12,500,0.0005531510193241905,0.02,-0.005,0.0005964470358343727,-0.005596447035834373,0.0,0.0,105.7371263440564,0.14418699046916783,-0.018731936979003484,0.9212446931000997,1.054719271990258,0.14093252345535534,0.20897102271838638,0.08115309000796693
11,12,550,0.0003323284508911689,0.02,-0.005,0.000374493722930655,-0.005374493722930655,0.0,0.0,105.7371263440564,0.1441869904691678,-0.015534825007214908,0.8876466089808865,1.075467654089944,0.14982669120166225,0.1894039329217666,0.08930330080431996
11,12,600,0.00016241635642953795,0.02,-0.005,0.00019172220399759,-0.00519172220399759,0.0,0.0,105.7371263440564,0.14418699046916783,-0.012647836979452397,0.8560341750385511,1.0717741303350126,0.14556910092692457,0.20959293954154665,0.10390109249860287
11,12,650,7.83806127809869e-05,0.02,-0.005,9.459246402347448e-05,-0.005094592464023474,0.0,0.0,105.7371263440564,0.14418699046916783,-0.010132771807914043,0.8337344863412138,1.0842680828940743,0.16019822748107918,0.2109091306045162,0.0971047628929189
11,12,700,2.3405962741289586e-05,0.02,-0.005,3.203195219985943e-05,-0.00503203195219986,0.0,0.0,105.7371263440564,0.14418699046916783,-0.008002341857743497,0.7271244198812182,1.1223214133475856,0.16859978799135686,0.19967496660969755,0.09297330579186171
11,12,750,5.645459289969603e-06,0.02,-0.005,8.200540053080814e-06,-0.005008200540053081,0.0,0.0,105.7371263440564,0.14418699046916783,-0.006261625434352507,0.6919633050200512,1.1255277185711092,0.16157769686534693,0.20191422581694718,0.09150495747265706
11,12,800,1.861654558307731e-06,0.02,-0.005,2.264456598740274e-06,-0.005002264456598741,0.0,0.0,105.7371263440564,0.14418699046916783,-0.004881831589499864,0.8186734512124961,1.1306747221635618,0.16499618109331918,0.18984242344402488,0.09454350179104253
