experiment,simulation_number,period,inflation,inflation_target,nominal_interest_rate,mean_exp_inflation,real_interest_rate,unemployment_rate,output_gap,consumption,real_wage_rate,mean_real_savings_balance,mean_indexation_strategy,mean_substitution_strategy,stdev_real_savings_balance,stdev_indexation_strategy,stdev_substitution_strategy
14,5,100,0.07722253155149146,0.02,0.09509702538046105,0.057165546424770224,0.03793147895569083,0.0,0.0,73.86003224746099,0.1441869904691678,0.0752619305572241,1.2951289951929332,1.0152116784229779,0.35447377790545354,0.4263134410003142,0.25745213062526173
14,5,150,573378.192927706,0.02,45627662.37260069,208176.20654407126,45419486.16605662,0.0,0.0,105.7371263440564,0.14418699046916783,-1916962761.6176226,2.5705494271780673,1.2854750891590199,219506734669.52737,0.34435003690049826,0.18083981655433634
14,5,200,nan,0.02,nan,nan,nan,0.0,0.0,nan,nan,nan,2.596284818307181,1.3082696630585287,nan,0.3628084036783907,0.2388569854815345
14,5,250,nan,0.02,nan,nan,nan,0.0,0.0,nan,nan,nan,2.6266954446732673,1.312463248786029,nan,0.36390760786355764,0.24282454305294715
14,5,300,nan,0.02,nan,nan,nan,0.0,0.0,nan,nan,nan,2.567612905095581,1.341451018193146,nan,0.35118147422139306,0.24342343133106076
14,5,350,nan,0.02,nan,nan,nan,0.19169384570458306,-0.1475244847037216,nan,nan,nan,2.535396345384583,1.3513910848236637,nan,0.3515698757944361,0.24609866698495347
14,5,400,nan,0.02,nan,nan,nan,0.5109698725466634,-0.41520761127261196,nan,nan,nan,2.53293433149933,1.339863190218267,nan,0.34667479074226887,0.2532010360086005
14,5,450,nan,0.02,nan,nan,nan,0.7041338058776887,-0.5988364102227282,nan,nan,nan,2.5809077588205036,1.3653453248286804,nan,0.37675276222937476,0.2645868715656895
14,5,500,nan,0.02,nan,nan,nan,0.8209991574951095,-0.7248045137639287,nan,nan,nan,2.524390504166379,1.3865976579209809,nan,0.3486989846752858,0.25264748849181606
14,5,550,nan,0.02,nan,nan,nan,0.8917034042618107,-0.8112177735602704,nan,nan,nan,2.522528528376856,1.3833604108278916,nan,0.3495416091076265,0.2549263665990705
14,5,600,nan,0.02,nan,nan,nan,0.9344799025280545,-0.8704966803526373,nan,nan,nan,2.4961069116656294,1.3935333948708875,nan,0.353097419875066,0.24233817690480247
14,5,650,nan,0.02,nan,nan,nan,0.9603599435100303,-0.911161606068666,nan,nan,nan,2.6190022843776326,1.3651376961340518,nan,0.38160867401720455,0.2470949318568626
14,5,700,nan,0.02,nan,nan,nan,0.9760175253218936,-0.9390574677329547,nan,nan,nan,2.5792589927695793,1.3861110612916785,nan,0.3500647166036649,0.2589979631489041
14,5,750,nan,0.02,nan,nan,nan,0.9854904573147732,-0.9581938385559905,nan,nan,nan,2.5414792316583843,1.380229215406254,nan,0.36952742818345935,0.25319231159591754
14,5,800,nan,0.02,nan,nan,nan,0.9912216386440467,-0.971321258410726,nan,nan,nan,2.593789356047075,1.4277911252766051,nan,0.35861017562901154,0.25847841586715553
