statistic,inflation_gap,nominal_interest_rate,unemployment_rate,mean_real_savings_balance,mean_indexation_strategy,mean_substitution_strategy,stdev_real_savings_balance,stdev_indexation_strategy,stdev_substitution_strategy
mean,nan,nan,0.06176354566534884,nan,1.2926988172309537,1.0026714878385075,nan,0.21999004491246735,0.22252488721679906
stdev,nan,nan,0.19863237130113434,nan,0.403387724543132,0.15428763256188008,nan,0.10510705991442139,0.10814895651436253
