"date","inflation","nominal_interest_rate","exp_inflation","real_interest_rate","uncertainty","ibcbr","real_ex_rate","commodity_index","ind_prod","m1","logdiff_commodity_index","logdiff_m1","logdiff_ibcbr","inflation_adj","logdiff_m1_adj"
1995-04-01,0.333908600160376,0.8543,NA,NA,NA,NA,77.91,NA,NA,17141943,NA,0.00348419824693735,NA,0.310284943193683,0.0347066943791049
1995-05-01,0.371900910288056,0.6094,NA,NA,NA,NA,74.72,NA,NA,16077908,NA,-0.0640821115202463,NA,0.360886865036473,-0.0463532736833833
1995-06-01,0.307583587234934,0.608,NA,NA,NA,NA,74.8,NA,NA,17621988,NA,0.0917012846926752,NA,0.316680559817339,0.0703799506200057
1995-07-01,0.323010608530128,0.604,NA,NA,NA,NA,74.47,NA,NA,17878924,NA,0.0144751484862908,NA,0.301371956131482,0.0445571289321834
1995-08-01,0.125486956926017,0.5087,NA,NA,NA,NA,73.27,NA,NA,17775620,NA,-0.00579473343255898,NA,0.147742151474117,-0.00941622015452516
1995-09-01,0.125486956926017,0.5037,NA,NA,NA,NA,72.93,NA,NA,19068611,NA,0.0702157245119004,NA,0.161090998977014,0.0546334997006739
1995-10-01,0.182958182438563,0.4299,NA,NA,NA,NA,73.26,NA,NA,19754622,NA,0.035343909240968,NA,0.184437022594893,0.0527359478957908
1995-11-01,0.191384442112171,0.4191,NA,NA,NA,NA,73.97,NA,NA,21912091,NA,0.103651095643759,NA,0.193599099331634,0.0688242672953132
1995-12-01,0.204127032667049,0.4025,NA,NA,NA,NA,71.08,NA,NA,28492903,NA,0.262616453793036,NA,0.189789402299744,0.0859915935645001
1996-01-01,0.173196610154846,0.3393,NA,NA,NA,NA,70.32,NA,NA,23481820,NA,-0.193428533987962,NA,0.141748301489495,-0.0705239643470342
1996-02-01,0.130848004136224,0.3438,NA,NA,NA,NA,70.3,NA,NA,23095259,NA,-0.0165991463644772,NA,0.140823031279629,-0.0010527677063209
1996-03-01,0.0428180071986151,0.2984,NA,NA,NA,NA,70.35,NA,NA,22985492,NA,-0.00476412407488525,NA,0.0578253419796846,0.016104662246405
1996-04-01,0.162130974325867,0.2597,NA,NA,NA,NA,69.62,NA,NA,23276407,NA,0.0125770381704484,NA,0.140105353083667,0.0404070487511169
1996-05-01,0.156634109599371,0.2875,NA,NA,NA,NA,69.08,NA,NA,22761723,NA,-0.0223599630833533,NA,0.148391255487523,-0.00477650432974804
1996-06-01,0.152527113059203,0.244,NA,NA,NA,NA,68.71,NA,NA,23513221,NA,0.0324825493166401,NA,0.163064274495792,0.0120790267659663
