"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Variação percentual mês/mês imediatamente anterior com ajuste sazonal (Base: mês imediatamente anterior) (%)"
"Brasil"
"Mês","Seções e atividades industriais (CNAE 2.0)",""
"julho 2013","1 Indústria geral","-0.8"
"agosto 2013","1 Indústria geral","0.6"
"setembro 2013","1 Indústria geral","0.6"
"outubro 2013","1 Indústria geral","-1.0"
"novembro 2013","1 Indústria geral","0.3"
"dezembro 2013","1 Indústria geral","-4.0"
"janeiro 2014","1 Indústria geral","1.9"
"fevereiro 2014","1 Indústria geral","0.5"
"março 2014","1 Indústria geral","-0.3"
"abril 2014","1 Indústria geral","-0.8"
"maio 2014","1 Indústria geral","-1.4"
"junho 2014","1 Indústria geral","-2.4"
"julho 2014","1 Indústria geral","2.1"
"agosto 2014","1 Indústria geral","1.0"
"setembro 2014","1 Indústria geral","0.0"
"outubro 2014","1 Indústria geral","0.6"
"novembro 2014","1 Indústria geral","-1.3"
"dezembro 2014","1 Indústria geral","-3.3"
"janeiro 2015","1 Indústria geral","0.6"
"fevereiro 2015","1 Indústria geral","-0.7"
"março 2015","1 Indústria geral","-0.3"
"abril 2015","1 Indústria geral","-1.9"
"maio 2015","1 Indústria geral","-1.0"
"junho 2015","1 Indústria geral","-1.0"
"julho 2015","1 Indústria geral","-1.6"
"agosto 2015","1 Indústria geral","0.7"
"setembro 2015","1 Indústria geral","-2.3"
"outubro 2015","1 Indústria geral","-0.2"
"novembro 2015","1 Indústria geral","-1.9"
"dezembro 2015","1 Indústria geral","-2.0"
"janeiro 2016","1 Indústria geral","1.4"
"fevereiro 2016","1 Indústria geral","-1.4"
"março 2016","1 Indústria geral","0.7"
"abril 2016","1 Indústria geral","0.1"
"maio 2016","1 Indústria geral","0.6"
"junho 2016","1 Indústria geral","-0.9"
"julho 2016","1 Indústria geral","0.7"
"agosto 2016","1 Indústria geral","-2.5"
"setembro 2016","1 Indústria geral","1.2"
"outubro 2016","1 Indústria geral","-1.5"
"novembro 2016","1 Indústria geral","0.7"
"dezembro 2016","1 Indústria geral","1.8"
"janeiro 2017","1 Indústria geral","0.8"
"fevereiro 2017","1 Indústria geral","1.2"
"março 2017","1 Indústria geral","-2.3"
"abril 2017","1 Indústria geral","1.1"
"maio 2017","1 Indústria geral","0.5"
"junho 2017","1 Indústria geral","0.9"
"julho 2017","1 Indústria geral","0.6"
"agosto 2017","1 Indústria geral","-0.5"
"setembro 2017","1 Indústria geral","0.5"
"outubro 2017","1 Indústria geral","0.0"
"novembro 2017","1 Indústria geral","0.7"
"dezembro 2017","1 Indústria geral","2.9"
"janeiro 2018","1 Indústria geral","-2.2"
"fevereiro 2018","1 Indústria geral","0.2"
"Fonte: IBGE - Pesquisa Industrial Mensal - Produção Física"
