scenario,experiment,run,period,inflation,inflation_target,unemployment_rate,mean_indexation_strategy,mean_substitution_strategy,var_indexation_strategy,var_substitution_strategy
5,15,1,100,0.04429320276043795,0.02,0.05643321448964525,1.0041182295213744,0.4679548231894176,0.010620083872199355,0.06049533190950073
5,15,1,150,0.03258770518752436,0.02,0.07742713850777659,1.0009854255473838,0.49957010321242723,0.011458062638150168,0.05944637416654939
5,15,1,200,0.03944331735316188,0.02,0.09795395743865083,1.0234238554398032,0.5268947266689831,0.013300325964902429,0.05388207930390877
5,15,1,250,0.06423309423464858,0.02,0.11802406415414532,1.0180611491096387,0.5272633515532628,0.01285297652039905,0.0553613391355517
5,15,1,300,0.08194633946017335,0.02,0.12022636009338203,1.0208825779329742,0.513947844821389,0.009876048363551035,0.057249978418006345
5,15,1,350,0.10262230443996168,0.02,0.17353090670752466,1.0383919120375371,0.5066664917521511,0.006636227830837563,0.06725290641648536
5,15,1,400,0.14421748144076105,0.02,0.268820929212338,1.0540395543824568,0.543615843754925,0.00849917150010492,0.061305299864326784
5,15,1,450,0.7064740480290423,0.02,0.2706466850328826,1.068884458341095,0.5311744758494192,0.007356827644394398,0.0784209924600274
5,15,1,500,5.904951302202879,0.02,0.2118717633855175,1.0786631117081433,0.48819134886555987,0.006618452567600561,0.09617704110311709
5,15,1,550,145.86157505629598,0.02,0.07742744605661744,1.104388540341173,0.17340436547961052,0.004900719721064163,0.10683744781659274
5,15,1,600,nan,0.02,0.0,1.1142352603773449,-0.02444385409557523,0.005069224976706368,0.04648726674225725
5,15,1,650,nan,0.02,0.2922031589267352,1.1106990903402232,-0.020269076073069266,0.008608655269996638,0.055832473357306504
5,15,1,700,nan,0.02,0.5717786168498923,1.1164427917968298,-0.019423925839232265,0.011256739175474584,0.06256667891136597
5,15,1,750,nan,0.02,0.7409234651161573,1.1169442073797302,-0.03066783963555813,0.013691703285748539,0.06852090670305638
5,15,1,800,nan,0.02,0.8432571245423055,1.1103278343321759,-0.034144322158330194,0.01440673798632539,0.07054396299093714
