"","period","inflation","inflation_target","nominal_interest_rate","mean_exp_inflation","real_interest_rate","unemployment_rate","output_gap","consumption","real_wage_rate","mean_real_savings_balance","mean_indexation_strategy","mean_substitution_strategy","stdev_real_savings_balance","stdev_indexation_strategy","stdev_substitution_strategy"
"19",19,0.0296156245334368,0.02,0.0245391250880432,0.0219565029502194,0.00258262213782382,0.0304297296424637,-0.0229167539246169,57.4209578904269,0.145306856387962,0.0343018564750356,1.00197289010083,1.00164393394222,0.173537048505283,0.297526395251139,0.298614292557123
"20",20,0.0196997721583511,0.02,0.0261049015231659,0.0224842284472852,0.00362067307588062,0.0327092787323228,-0.0246431595305414,57.2522672556357,0.145393124601718,0.0350662128178481,1.00235348239567,1.00118585902465,0.177136191883115,0.297218483058702,0.298563715402774
"21",21,0.0145728510267702,0.02,0.0136356631903014,0.0210056124998224,-0.00736994930952099,0.0376628249325856,-0.0283909704212849,58.3478981216622,0.145579680127864,0.0331533979404636,1.00327467071293,1.00131561291487,0.182365434732693,0.2970484453675,0.298768060552012
"22",22,0.0247823269505296,0.02,0.00812326264262399,0.0195964310666804,-0.0114731684240564,0.0343867588640239,-0.0259055287242417,59.7318530035585,0.145454607478994,0.0309975840589137,1.00414696052354,1.00215214483213,0.181927999120705,0.296658988772844,0.298521801865831
"23",23,0.0284147725438351,0.02,0.0195937471123123,0.0205624333235969,-0.00096868621128461,0.0292335605556478,-0.0220115165527531,59.8239768955424,0.145261752398796,0.0313635067998939,1.00457394787088,1.00252478268599,0.178954082096912,0.2963780063202,0.29856935769943
"24",24,0.0182365932740808,0.02,0.0248053102779811,0.0216373836079643,0.00316792667001679,0.0320098348759374,-0.0241147644194141,59.5793766404042,0.145366981043682,0.0319852339583141,1.00548944679148,1.00239084827475,0.181234367900803,0.296011014863748,0.298367285681554
"25",25,0.0137513889046848,0.02,0.0123531730748195,0.0204000923024132,-0.00804691922759374,0.0371209704080925,-0.0279812184539515,60.6140962547779,0.145559326164195,0.0300329601217032,1.0055806581693,1.00242097151457,0.185375984144684,0.296161897315728,0.29811456636356
"26",26,0.0237322229956876,0.02,0.00761277488204221,0.0191949686138047,-0.0115821937317625,0.0344240651919487,-0.0259340051937479,61.8763416678489,0.145456074582625,0.027963964645235,1.00625057838314,1.00223829912097,0.184202746822524,0.296233461249817,0.297809119254658
"27",27,0.0280583006601983,0.02,0.0185727080344278,0.0201968963976909,-0.00162418836326308,0.0293891419864902,-0.0221290234863853,61.9238315513613,0.145267560836423,0.0283352428192309,1.0060643252563,1.00219752408856,0.180591888082426,0.296163080212569,0.297671736469464
"28",28,0.0181072513036314,0.02,0.0244148038579656,0.0214128868008174,0.0030019170571483,0.0320873511594205,-0.0241733624432668,61.5736318239238,0.145369887923536,0.0290671928647224,1.00633884159522,1.00188147434872,0.182067246576665,0.296430250398369,0.297125852390599
"29",29,0.0135853398841134,0.02,0.0123600302362237,0.0203210796029604,-0.00796104936673671,0.0371978617057192,-0.0280394611792595,62.4626415390839,0.145562238982938,0.0273111831042266,1.00663538132811,1.00192551437228,0.185307588369879,0.296217927866131,0.297425561441589
"30",30,0.0235600654770065,0.02,0.0074896016516266,0.0191325772385223,-0.0116429755868957,0.0346171707231509,-0.0260801114401603,63.6143918840541,0.14546334793186,0.025399534899476,1.00663249727565,1.00195498453651,0.183334063615849,0.29578920658904,0.297227574119706
"31",31,0.0282091691637139,0.02,0.0184669220844917,0.0202079523452151,-0.00174103026072345,0.0295832544519843,-0.0222757004657851,63.5788947243973,0.145274824759263,0.0258865086459653,1.00638850279048,1.00245958068669,0.179122490407984,0.295657470203805,0.296986010373906
