statistic,inflation_gap,unemployment,mean_savings_balance,mean_indexation_strategy,mean_substitution_strategy,stdev_savings_balance,stdev_indexation_strategy,stdev_substitution_strategy
mean,0.006873822629170842,0.020122918348810463,0.06794379005611435,-0.008248277002141757,1.1742484500336758,1.004276763879887,0.08538635457575916,0.29618331210329263,0.297488742279451
stdev,0.021956182563673838,0.02193906101512006,0.03234835489323928,0.04105877121304416,0.20149333550927842,0.15378554104344103,0.07486968209675653,0.016793708139195757,0.01691713099798221
