statistic,inflation_gap,nominal_interest_rate,unemployment_rate,welfare,mean_real_savings_balance,mean_indexation_strategy,mean_substitution_strategy,stdev_real_savings_balance,stdev_indexation_strategy,stdev_substitution_strategy
mean,0.005866683983923748,0.024704572185997097,0.002352348866124322,-1008.6283943211524,0.09462951772692581,1.2639967009655093,0.5093245337388926,0.04488178655100746,0.22230319134988646,0.22388673089780123
stdev,0.012393136667860665,0.01203559158543463,0.007698645863893872,59.598913942110656,0.058171659842546325,0.32097747693806006,0.13890496361842977,0.039334640178686875,0.10599998526687565,0.10795783211112953
