statistic,inflation_gap,nominal_interest_rate,unemployment_rate,welfare,mean_real_savings_balance,mean_indexation_strategy,mean_substitution_strategy,stdev_real_savings_balance,stdev_indexation_strategy,stdev_substitution_strategy
mean,0.011786182113729025,0.028508683660857296,0.008186642594223253,-1009.2054812721184,971207973548.35,1.2286450453771531,0.4657394721461228,367663347170.6673,0.2213627664766841,0.22378925479866998
stdev,0.03966583852609137,0.03761779848543557,0.023651029167869573,200.6598534533049,58641312459832.25,0.3811294691851844,0.23795100219071075,24019806698896.113,0.10580334604679735,0.10887049771794394
