experiment,simulation_number,period,inflation,inflation_target,nominal_interest_rate,mean_exp_inflation,real_interest_rate,unemployment_rate,welfare,output_gap,consumption,real_wage_rate,mean_real_savings_balance,mean_indexation_strategy,mean_substitution_strategy,stdev_real_savings_balance,stdev_indexation_strategy,stdev_substitution_strategy,non_consuming_households
11,18,100,0.01969529191330708,0.02,0.019358378649113606,0.019999612517905167,-0.000641233868791561,0.0,-984.7622889588395,0.0,70.17223887493684,0.14418699046916783,0.013392029211345685,0.9838611282209163,0.5020611409735072,0.012262565822274581,0.19804261204018356,0.09168041605282833,0
11,18,150,0.019008068551940073,0.02,0.018101560011512197,0.019999612517905167,-0.00189805250639297,0.0,-964.3666200550657,0.0,73.23935020222481,0.14418699046916783,0.00782226986705998,0.9494022875040193,0.5170538590070767,0.008088329790967842,0.1832613453683043,0.09162270047392378,0
11,18,200,0.017927587819802752,0.02,0.016184818157768177,0.019999612517905167,-0.0038147943601369895,0.0,-941.1638162281699,0.0,76.8747462344834,0.14418699046916783,-0.004765959602230317,0.8962342832158675,0.4991576853424827,0.007902025989612416,0.1901347701774449,0.08616760765384389,0
11,18,250,0.017330839278091845,0.02,0.014604609574440985,0.019999612517905167,-0.005395002943464181,0.0,-923.0440919188273,0.0,79.86013054011593,0.14418699046916783,-0.02037231678778618,0.8641105507632445,0.47993934996622567,0.00869223971368128,0.2052275725124771,0.09156200864011911,0
11,18,300,0.01745373038179778,0.02,0.014920175208492426,0.019999612517905167,-0.005079437309412741,0.0,-915.4638689598114,0.0,81.23987093645628,0.14418699046916783,-0.03435914601306851,0.8708772453714249,0.45068975204525535,0.008696854644511616,0.2070791002090798,0.09574389060682427,0
11,18,350,0.01782499846215103,0.02,0.01569014331514662,0.019999612517905167,-0.004309469202758546,0.0,-923.7354560055396,0.0,80.15046573950315,0.1441869904691678,-0.04329525823834241,0.8866282548339006,0.47573327822315614,0.010211081176667742,0.2008313526436372,0.0904103672639098,0
11,18,400,0.01717273259638023,0.02,0.014005852351172354,0.019999612517905167,-0.005993760166732812,0.0,-915.8018455129966,0.0,81.45104933547391,0.14418699046916783,-0.05390452909045358,0.8568214210342949,0.4921982766281418,0.011499988351985627,0.20934012331574314,0.08985428880525996,0
11,18,450,0.01776077715800832,0.02,0.015176334628160149,0.019999612517905167,-0.004823277889745018,0.0,-939.7697390629531,0.0,77.96312556872319,0.14418699046916783,-0.05281706054170584,0.8844783502580295,0.4747126273439529,0.012146027715704553,0.19468325186506608,0.09161218352326936,0
11,18,500,0.01738883844509242,0.02,0.015010033955157764,0.019999612517905167,-0.004989578562747402,0.0,-954.3570405669939,0.0,76.0091214798672,0.14418699046916783,-0.05082787497637422,0.8668792264429918,0.4632544178318979,0.01255224570389848,0.19751001652389186,0.0892920224400348,0
11,18,550,0.016484564356337897,0.02,0.013042576849790377,0.019999612517905167,-0.0069570356681147895,0.0,-954.6732328980019,0.0,76.20976051889697,0.14418699046916783,-0.0505219787729644,0.8249323341665523,0.45891480333981005,0.013461809127688637,0.18761335329572842,0.09875387956901753,0
11,18,600,0.01625275763440174,0.02,0.012395404024423406,0.019999612517905167,-0.00760420849348176,0.0,-946.0093611491382,0.0,77.5740857246285,0.14418699046916783,-0.05139231960738888,0.8119738549272988,0.4712604972436554,0.013946087940874445,0.1910132515072144,0.0906231430800644,0
11,18,650,0.017004590800003105,0.02,0.013938086295799179,0.019999612517905167,-0.0060615262221059875,0.0,-947.5838901921048,0.0,77.53058088185067,0.14418699046916783,-0.051864198967506436,0.8453668995809087,0.4989445887815452,0.013720822577244928,0.18346930074016932,0.08955701240647372,0
11,18,700,0.015604204802690843,0.02,0.011750726804201195,0.019999612517905167,-0.008248885713703972,0.0,-950.9785855153671,0.0,77.24772545133179,0.14418699046916783,-0.051255770863050616,0.7786141037585141,0.4997269724290501,0.014860126833228978,0.19459168286001313,0.08135597337064245,0
11,18,750,0.015815383051442086,0.02,0.011444085370768686,0.019999612517905167,-0.00855552714713648,0.0,-944.5121631654254,0.0,78.37231273691049,0.14418699046916786,-0.05198087720877516,0.7870775377829018,0.46811008124050085,0.014706711159875,0.20908956982987464,0.09376821482626854,0
11,18,800,0.01688106158515947,0.02,0.013500037911397866,0.019999612517905167,-0.0064995746065073,0.0,-943.3538425199154,0.0,78.60011326907852,0.14418699046916783,-0.05261044415965846,0.8394778927970575,0.5053384378704466,0.0148918520984514,0.19049200243297962,0.08935309766460896,0
