experiment,simulation_number,period,inflation,inflation_target,nominal_interest_rate,mean_exp_inflation,real_interest_rate,unemployment_rate,welfare,output_gap,consumption,real_wage_rate,mean_real_savings_balance,mean_indexation_strategy,mean_substitution_strategy,stdev_real_savings_balance,stdev_indexation_strategy,stdev_substitution_strategy,non_consuming_households
4,20,100,0.04419636689067039,0.02,0.03577218838929097,0.02201048740345006,0.01376170098584091,0.0003070491384063416,-1157.9819856452382,-0.00023029569360810687,56.06745071486801,0.1441980607164913,0.10718584590469722,1.142323001674773,0.5031475522432839,0.05134244891365481,0.3865986701575505,0.15442370207872633,0
4,20,150,0.009323499825866778,0.02,0.00956030915270234,0.02128983365033748,-0.01172952449763514,0.02254975434395044,-1110.1083497749169,-0.016960440499188323,63.59022960694362,0.1450114890517253,0.12550315585797558,1.1995260863953852,0.5211483406581551,0.07389140188103636,0.3586267975398876,0.14811587507053595,1
4,20,200,0.05328763190277949,0.02,0.04541578181388517,0.023541087133759513,0.021874694680125657,0.005293287225046356,-1099.5432024230856,-0.003972598000437255,66.13525554483573,0.14437843001832923,0.12759196611699858,1.2549168457400102,0.5033096809825364,0.08141985780783861,0.3629573440923327,0.15754414737213865,2
4,20,250,0.009002137758191451,0.02,0.010904430834494327,0.022880912239446032,-0.011976481404951705,0.02742505094225635,-1085.966828317441,-0.02064011912455377,69.62841776439555,0.1451928758256443,0.13673518600518464,1.3366247580158837,0.5212675850275016,0.1007661599002335,0.39023246769911324,0.17192884175077414,3
4,20,300,0.07280787238320686,0.02,0.06224657382176235,0.026864868156163624,0.03538170566559873,0.010254655105054326,-1115.3517438192155,-0.007700892254716374,68.84840944127536,0.1445590249340546,0.13276989550978605,1.4918682488401807,0.5252843553071116,0.10033502423816383,0.38308776930851945,0.1652336406874081,5
4,20,350,0.0067556425146921735,0.02,0.0130848900932663,0.025513050647667863,-0.012428160554401563,0.032276030684510036,-1111.740052841443,-0.024306024108100344,72.25182555685309,0.14537448948614973,0.14437189392174282,1.565001434270918,0.5188624223751053,0.11642671466614979,0.37738186525164663,0.1720874777042609,6
4,20,400,0.0920165819985303,0.02,0.07575963615992953,0.029072990255781847,0.046686645904147686,0.015191276825289719,-1161.65631159098,-0.01141523089088825,69.96939864880086,0.14473984574587528,0.13400761879387643,1.632837714403665,0.5200434560059254,0.11643431314038685,0.3554144862983939,0.15934247831121437,2
4,20,450,0.005777545943373231,0.02,0.0176649811109586,0.02829989446679021,-0.01063491335583161,0.037102814857586965,-1169.8504081897884,-0.027958207006833602,73.19831593222447,0.14555633031704143,0.1491129066809668,1.7229511755631024,0.53289699818596,0.13438286289016596,0.3397751595711008,0.1672145298139399,2
4,20,500,0.1073087817126067,0.02,0.08568299531807244,0.031036894363539926,0.05464610095453251,0.020103275813895722,-1197.915641640637,-0.015115666147125006,70.50470492545563,0.14492089273635209,0.13468172672981318,1.757134872635788,0.52615367144124,0.12539230585431493,0.38851014701099823,0.16404393209138082,0
4,20,550,0.017247024136317613,0.02,0.02368499026035531,0.030814739010655217,-0.007129748750299907,0.04190552414341073,-1218.166295866514,-0.031596719184771804,73.01107969025603,0.14573839860247417,0.15010076317140447,1.8441442913952784,0.5362987838439311,0.1461192986862638,0.35935244045037934,0.16341014843797194,1
4,20,600,0.1376986619244666,0.02,0.10984131005234277,0.03682807584687127,0.0730132342054715,0.02499077488338446,-1255.7137687610202,-0.018802250066062953,70.47386839201488,0.1451021661883992,0.1334253142826076,1.9698230004322101,0.5261714961135632,0.14334738834534308,0.40946514118960714,0.17199707783935242,3
4,20,650,0.024007400909654957,0.02,0.035580045900636126,0.035330221119285854,0.00024982478135027186,0.04668427862197132,-1280.5815930574533,-0.03522161181366945,73.5612013192604,0.14592069462695803,0.15474251995141797,2.0120115712745084,0.5503060982126838,0.17448568399646078,0.34317611548628973,0.16754638233983024,0
4,20,700,0.15993137304285776,0.02,0.1289515874920526,0.04026416995925423,0.08868741753279838,0.029853896233706906,-1305.9073273562549,-0.022475034495533786,70.7216235955965,0.1452836663852848,0.1324997434836246,2.099600039169223,0.5620804603487468,0.1616430443242409,0.3744784170699149,0.16585611122378974,1
4,20,750,0.028690972437214003,0.02,0.047899658552302604,0.04121966416575227,0.006679994386550335,0.051439197774327906,-1315.7727315742823,-0.03883293587373715,74.52743993437068,0.14610321867535916,0.15855909129023324,2.1941680350862938,0.5627052986692903,0.19671512596939142,0.3533582126306159,0.16456944433822146,3
4,20,800,0.188873322278622,0.02,0.1575172540843064,0.04817260893358993,0.10934464515071646,0.03469276145530841,-1342.517217664841,-0.026134071089293998,71.39262935259687,0.14546539361063138,0.1336653502343584,2.2921122967626184,0.4854432344519075,0.1705121427417535,0.3662043551249145,0.18244940251231864,2
