scenario,experiment,run,period,inflation,inflation_target,unemployment_rate,mean_indexation_strategy,mean_substitution_strategy,var_indexation_strategy,var_substitution_strategy
1,1,2,350,0.02234730543628921,0.02,0.0,1.1187946549045964,0.711499807848307,0.035185827634965375,0.10471657361719476
1,1,2,400,0.021872318249511254,0.02,0.0,1.0913982409154275,0.7520764246094952,0.028278329536110165,0.08983741874103283
1,1,2,450,0.021394767224079014,0.02,0.0,1.0665190507855926,0.7290022085392678,0.032913758698591145,0.10792584809691053
1,1,2,500,0.036306987831410065,0.02,0.0,1.0636885743813154,0.7148563399384187,0.03307572699115626,0.11855465888362784
1,1,2,550,0.021797216216300288,0.02,0.0,1.08712558065757,0.7596908058325098,0.028988237799018796,0.08046284348326861
1,1,2,600,0.021509011391125796,0.02,0.0,1.077613610249801,0.7853864678760133,0.03474453187549796,0.10372435539297178
1,1,2,650,0.038246476375350065,0.02,0.005571262720849518,1.1208294039636828,0.8026089025001651,0.03197125740983311,0.09641953880803213
1,1,2,700,0.02228677543112524,0.02,0.0,1.1072450508730844,0.8030531602746891,0.0275958384966874,0.1077139893559135
1,1,2,750,0.006231788151238259,0.02,0.010531244123136616,1.1564405903184634,0.8127444918931396,0.03313875881690421,0.11548641542869278
1,1,2,800,0.022752598818066325,0.02,0.0,1.1356909231198138,0.7858541065709417,0.035547645149704606,0.10025418205968506
1,1,3,100,0.019614373370624327,0.02,0.0,0.9722128282016624,0.5196619340181087,0.03776087581553093,0.13610641104237467
1,1,3,150,0.01995659410930971,0.02,0.0,0.9943755938190559,0.4379169589473602,0.03434534821376673,0.11084995944390337
1,1,3,200,0.019443975903414363,0.02,0.0,0.9642451665539803,0.38421685888648716,0.03148273161200099,0.10139255084040528
1,1,3,250,0.019094940848671357,0.02,0.0,0.9433864883164524,0.4582526968799388,0.03170404732248211,0.10615681284963789
1,1,3,300,0.018746244383046378,0.02,0.0,0.9314575374078549,0.38834205906138825,0.031241078358829086,0.10431452428264258
1,1,3,350,0.01968022336467482,0.02,0.0,0.987487575464933,0.48812610930831063,0.02848923683417856,0.10510028392381869
