experiment,simulation_number,period,inflation,inflation_target,nominal_interest_rate,mean_exp_inflation,real_interest_rate,unemployment_rate,welfare,output_gap,consumption,real_wage_rate,mean_real_savings_balance,mean_indexation_strategy,mean_substitution_strategy,stdev_real_savings_balance,stdev_indexation_strategy,stdev_substitution_strategy,non_consuming_households
19,2,17,0.014545361357710012,0.02,-0.005,0.017245008527045247,-0.022245008527045248,0.1485422289051245,-978.7145265442956,-0.11361512828387077,63.599247704108464,0.15010159210339402,0.0006203246829450252,1.0035378264520993,0.979778103522169,0.0905687655919602,0.07267544785005979,0.14045664349574907,65
19,2,18,0.014495209257176088,0.02,-0.005,0.017258844602950126,-0.022258844602950127,0.15705680661607324,-974.8893486313609,-0.12027135950036039,64.42435382760137,0.15047920915520402,-0.001992881894140514,1.002033242961671,0.9818739544587742,0.08737304274793006,0.07332497379752899,0.14103185531033502,66
19,2,19,0.014441666941650722,0.02,-0.005,0.017253158318640955,-0.022253158318640956,0.1654862385499125,-962.5189684050293,-0.12687760631907752,65.55545696863261,0.15085777619452453,-0.005197948532431702,1.0013285873918427,0.9808626409486744,0.08518429909220428,0.07211579867417174,0.1419849403214304,70
19,2,20,0.014453414486475026,0.02,-0.005,0.01723695119424419,-0.02223695119424419,0.17383137616441344,-943.5058143744274,-0.13343424409357296,66.73446612081206,0.15123729561128027,-0.008476015271491204,1.0043532735836374,0.9745351964956268,0.08062830355730076,0.07035792764451011,0.14122942894530705,76
19,2,21,0.014513144263269655,0.02,-0.005,0.01723178179302019,-0.02223178179302019,0.18209306240276932,-940.7123286275363,-0.13994164535871156,67.53390333687175,0.15161776980140812,-0.01097204809439711,1.007631133988076,0.9700318881880229,0.074809026156323,0.07046408391898278,0.14443900356526299,78
19,2,22,0.014521229968072973,0.02,-0.005,0.01724412742749009,-0.02224412742749009,0.19027213177874158,-932.9084986026223,-0.14640017985184028,68.12355775996096,0.15199920116687274,-0.013029757164056634,1.0079345446003727,0.971492768023228,0.06944588173891846,0.06890101043545137,0.14853536025774933,83
19,2,23,0.01449611609653623,0.02,-0.005,0.017252320055080175,-0.022252320055080176,0.19836941046095422,-928.8429843108398,-0.15281021453379473,68.53708220209523,0.1523815921156814,-0.014718823226125152,1.0056194698011216,0.9737759656050881,0.06384850963033449,0.07249756765181047,0.14396028707006728,87
19,2,24,0.01450744157830567,0.02,-0.005,0.017250136957161342,-0.022250136957161343,0.2063857163563447,-923.6981579474779,-0.1591721136097497,68.7682043596483,0.15276494506189928,-0.016028711716240544,1.004250645079853,0.9662647975894917,0.05811483147008447,0.07389573729181749,0.14354759252137508,90
19,2,25,0.014467748679788792,0.02,-0.005,0.017251875824200902,-0.022251875824200903,0.2143218591927813,-930.0010345219015,-0.1654862385499125,68.61330365701379,0.15314926242566476,-0.016554192860462905,1.0024866079680717,0.968127965645113,0.051753062653130365,0.07340200305874177,0.1394007415709335,90
19,2,26,0.014409653313126316,0.02,-0.005,0.017242821297455125,-0.022242821297455126,0.22217864060085343,-1000.7906150530544,-0.1717529481100608,68.37682077475371,0.15353454663320476,-0.01690813029251985,1.0003856299551352,0.9652672256525543,0.046678383323022654,0.07318072384614438,0.1407854334325869,78
19,2,27,0.014358884965744239,0.02,-0.005,0.017223769766695034,-0.022223769766695035,0.22995685419484493,-1003.3199211660987,-0.17797259835192647,68.41590617742328,0.15392080011684986,-0.01780573852245202,1.0007581059518915,0.9685156138096591,0.04303108032913979,0.06919674019071448,0.14422734787203087,66
19,2,28,0.014417313771344819,0.02,-0.005,0.017201551510074256,-0.022201551510074257,0.23765728565289646,-1009.6989427007745,-0.18414554266342653,68.7118191278021,0.15430802531504975,-0.019206971432295,1.000658930646652,0.9801408871595537,0.03736603698245168,0.06946913169965668,0.14489207618793262,59
19,2,29,0.014441368597409226,0.02,-0.005,0.017205049401412494,-0.022205049401412495,0.24528071279636754,-1006.1717177308426,-0.19027213177874158,68.96304883554846,0.15469622467238864,-0.020506409526705315,1.0022674703985854,0.9834917004269272,0.032423625174856814,0.06957249743545554,0.14225883481287918,57
19,2,30,0.014419096005280574,0.02,-0.005,0.017212811800375597,-0.022212811800375598,0.2528279056684039,-1033.8102369817718,-0.19635271379824393,68.99066340172752,0.15508540063960077,-0.021346792261582502,1.0015098217262663,0.9865968586313929,0.02899882285248874,0.07171701221543528,0.14131526974355396,50
19,2,31,0.014300955372004692,0.02,-0.005,0.01721112470978256,-0.02221112470978256,0.26029962661171985,-1051.8902576731514,-0.2023876342082761,68.98206150883054,0.15547555567358573,-0.022105218505967385,0.9967079593727336,0.9853956597758597,0.02716568268009474,0.07232033664907961,0.14576006865945082,45
19,2,32,0.014276639676357174,0.02,-0.005,0.017180745948125707,-0.022180745948125708,0.26769663034560265,-1041.0026208850993,-0.20837723590078017,69.34524707740452,0.15586669223742403,-0.023598256618359698,0.9978684783049742,0.9824177232573084,0.02391634359808724,0.07036162108564438,0.1479531234369238,47
