statistic,inflation_gap,nominal_interest_rate,unemployment_rate,mean_real_savings_balance,mean_indexation_strategy,mean_substitution_strategy,stdev_real_savings_balance,stdev_indexation_strategy,stdev_substitution_strategy
mean,-0.018714351309314262,-0.004649768518481794,0.4330569006316074,-0.008263121504536071,0.5675949468852332,0.21232029596588745,0.05322674141010697,0.3195105843009503,0.21249729479461765
stdev,0.0036847662378288624,0.002809210660845387,0.4125988107142618,0.02039472980635492,0.17199432771635073,0.19999997699859232,0.04404839578447897,0.029474595851545438,0.03806391370579557
