statistic,inflation_gap,nominal_interest_rate,unemployment_rate,welfare,mean_real_savings_balance,mean_indexation_strategy,mean_substitution_strategy,stdev_real_savings_balance,stdev_indexation_strategy,stdev_substitution_strategy
mean,0.0007850176377202316,0.020940028218853723,0.0,-1091.2917173594021,0.13566398919958977,1.0067308851768118,1.0012628829386314,0.07989619910221471,0.0674482709140953,0.13015358852475883
stdev,0.0008268104173713983,0.0009908988189334875,0.0,69.01160774834186,0.016802699829058524,0.00023827056580283368,4.4705536408065284e-05,0.047862551941441504,0.0,0.0
