scenario,statistic,inflation_gap,unemployment,mean_indexation_strategy,mean_substitution_strategy,var_indexation_strategy,var_substitution_strategy
1,mean,0.003511177583897335,0.13579789335144274,1.1866275373384427,0.5021916290010108,0.05876543820650935,0.06525317663208692
1,stddev,0.014796823490973698,0.29397149035395415,0.4001705172706759,0.1516527875630754,0.0474123157503344,0.05553426193894968
