statistic,inflation_gap,unemployment,mean_savings_balance,mean_indexation_strategy,mean_substitution_strategy,stdev_savings_balance,stdev_indexation_strategy,stdev_substitution_strategy
mean,0.0009087137663710054,0.016901268815324454,0.03649406642007677,-0.0023000731628824733,0.9964361105522845,0.9593224887612051,0.07136954036054255,0.296651150900529,0.2959665958701754
stdev,0.015992463368622846,0.016995372165176752,0.01497665995256709,0.025422607406171558,0.033151825426548584,0.04560555227436485,0.05326153326235362,0.01127043948533817,0.017711664040667496
