experiment,simulation_number,period,inflation,inflation_target,nominal_interest_rate,mean_exp_inflation,real_interest_rate,unemployment_rate,welfare,output_gap,consumption,real_wage_rate,mean_real_savings_balance,mean_indexation_strategy,mean_substitution_strategy,stdev_real_savings_balance,stdev_indexation_strategy,stdev_substitution_strategy,non_consuming_households
21,1,1,0,0.02,0.020000000000000018,0.02,1.734723475976807e-17,0.0,-1661.469318990759,0.0,18.023373808645868,0.14418699046916783,0.10814024285187587,1,1,0.0,0.06894984613785957,0.14083563846063446,0
21,1,2,0.017385784819301635,0.02,-0.00395269292201228,0.02,-0.02395269292201228,0.01,-1435.0468972888573,-0.007509414283665028,28.46661860672065,0.14454972790244444,0.0882968387769076,0.9987671172429937,0.998738213180426,0.01062811660122427,0.07049009326146163,0.1407022204954471,0
21,1,3,0.01728146648896044,0.02,0.004794190540299281,0.02,-0.01520580945970072,0.019899999999999977,-1335.3000860721165,-0.014962437264446238,34.11639487260578,0.14491337788993328,0.07554346232166852,0.9966960608922363,1.0036757742334106,0.02068029876422045,0.06974110608779562,0.14305403049023094,5
21,1,4,0.017266628722595722,0.02,-0.005,0.02,-0.025,0.029701000000000023,-1271.8922456884582,-0.02235949240799917,38.317730148364355,0.1452779427273863,0.06640060823319192,0.9971304808368799,1.0030131374473747,0.030588467211051542,0.07154025036733026,0.14197537245199915,9
21,1,5,0.017238485683961354,0.02,-0.005,0.02,-0.025,0.03940399000000002,-1229.291462925182,-0.029700999999999977,41.40612984887528,0.14564342471633113,0.058803751911001546,0.998041487896157,1.008000341043522,0.03890380484461161,0.07276001477970095,0.1463738839172885,14
21,1,6,0.01726455357784765,0.02,-0.005,0.02,-0.025,0.04900995010000008,-1191.0954490953438,-0.03698737717002576,43.99673570779851,0.14600982616408528,0.0522538634664853,0.9997166449364389,1.0073562562226486,0.04758896628998568,0.07268602038685404,0.14127938105637927,19
21,1,7,0.017244718161126705,0.02,-0.005,0.02,-0.025,0.05851985059900005,-1164.7803595813134,-0.044219037915254944,46.19443210246054,0.14637714938377094,0.04653529692312583,1.00032260202657,1.0131187974355682,0.05224192813462564,0.07481906548415732,0.14430764946263377,24
21,1,8,0.01726234033367968,0.02,-0.005,0.02,-0.025,0.06793465209301007,-1142.651305921534,-0.05139639312398914,48.32595469863213,0.14674539669432962,0.040989755757869104,1.0028832991260963,1.012365144055257,0.05862598167791525,0.07375236952306385,0.14298350417068395,29
21,1,9,0.01734035923416997,0.02,-0.005,0.02,-0.025,0.07725530557208003,-1136.2740575333714,-0.05851985059900011,50.540391681437974,0.1471145704205365,0.035317566442542116,1.0072394887625062,1.0154038774816798,0.06554247369542393,0.07340598279610888,0.14601668516225821,28
21,1,10,0.017312824367796385,0.02,-0.005,0.02,-0.025,0.08648275251635926,-1104.9532175461693,-0.06558981508069905,52.80551409220172,0.14748467289301545,0.029583294555741303,1.0062800134382255,1.015167169396989,0.07127565869106914,0.07078755275420953,0.14471057356059214,31
21,1,11,0.017372135582461687,0.02,-0.005,0.02,-0.025,0.09561792499119565,-1070.5177527711403,-0.07260668827013395,55.08744988248735,0.1478557064482535,0.02385435833579761,1.009423415020843,1.0171073854347585,0.07616518694224587,0.06974308553953307,0.14606102026700388,38
21,1,12,0.017374766251116627,0.02,-0.005,0.02,-0.025,0.10466174574128365,-1050.3876039864622,-0.07957086885181364,57.29178070346106,0.14822767342861579,0.018319002777422717,1.0093362395968453,1.0207206913301838,0.07852329894613473,0.06990449292427928,0.147252903147254,42
21,1,13,0.017429617585247248,0.02,-0.005,0.02,-0.025,0.11361512828387083,-1025.11278143992,-0.08648275251635917,59.38738658423913,0.1486005761823601,0.013037929511977814,1.0112921741391603,1.0178168192660764,0.07894697673887335,0.06947797854933643,0.15147564082126141,48
21,1,14,0.01742767543026961,0.02,-0.005,0.02,-0.025,0.12247897700103215,-1012.2908011823056,-0.09334273198298715,61.227327478010615,0.14897441706365194,0.008303220804706498,1.01233942028898,1.0216524590772276,0.07835704409402444,0.06851313560857318,0.15305365807569493,51
21,1,15,0.017376791890482107,0.02,-0.005,0.02,-0.025,0.1312541872310219,-999.3161842116881,-0.10015119702182285,62.86962720456172,0.1493491984325793,0.0039956151042261105,1.0108366962239344,1.0195785360104024,0.07818248212594668,0.06502205220551796,0.15439659886465226,53
21,1,16,0.01738314498117231,0.02,-0.005,0.02,-0.025,0.13994164535871165,-982.9169857920404,-0.10690853447604587,64.4794847539746,0.14972492265516749,-0.00021785831064984501,1.0117287695051407,1.0176254743936684,0.07616426978580561,0.06909234856702057,0.16027022049000336,58
21,1,17,0.01735814208498647,0.02,-0.005,0.02,-0.025,0.1485422289051245,-968.9064958116111,-0.11361512828387077,65.94945777060182,0.15010159210339405,-0.004123207279956729,1.0116854609833814,1.0176839123847945,0.07228130581960945,0.06940949363126965,0.160459795056961,61
21,1,18,0.017303754268646474,0.02,-0.005,0.02,-0.025,0.15705680661607324,-949.9880185040294,-0.12027135950036039,67.38247774072822,0.15047920915520402,-0.00792822272062624,1.0090010172290595,1.0139364205984274,0.06775974655050301,0.06960358442500617,0.15879007872585713,67
21,1,19,0.017326009513803208,0.02,-0.005,0.02,-0.025,0.1654862385499125,-935.6237817722085,-0.12687760631907752,68.56625205048036,0.15085777619452456,-0.011209192160015998,1.0086023323360858,1.0094245697445214,0.06268420959608115,0.06795052563335505,0.15586775424232868,73
